公司名称,财务风险-流动性风险-流动资产周转率,财务风险-流动性风险-应收账款周转率,财务风险-筹资风险-纳税信用等级,财务风险-筹资风险-征信信用等级,财务风险-筹资风险-1/财务费用率,财务风险-筹资风险-1/产权比率,财务风险-筹资风险-融资轮次,财务风险-筹资风险-股权出质总计,财务风险-投资风险-对外投资数量,财务风险-短期清偿能力-流动比率,财务风险-短期清偿能力-速动比率,财务风险-短期清偿能力-现金比率,财务风险-短期清偿能力-现金流量比率,财务风险-长期清偿能力-资产负债率,财务风险-长期清偿能力-长期资本负债率,财务风险-长期清偿能力-利息保障倍数,财务风险-长期清偿能力-现金流量利息保障倍数,财务风险-长期清偿能力-现金流量债务比,财务风险-盈利能力-销售净利率,财务风险-盈利能力-总资产报酬率,财务风险-盈利能力-主营业务利润率,财务风险-盈利能力-净资产收益率,财务风险-资产利用-存货周转率,财务风险-资产利用-营运资本周转率,财务风险-资产利用-非流动资产周转率,财务风险-资产利用-总资产周转率,财务风险-资产利用-成本费用利润率,财务风险-成长能力-营业收入增长率,财务风险-成长能力-总资产增长率,财务风险-资本结构-上市股东持股比例,财务风险-上市情况-是否上市,经营风险-知识产权-专利数量,经营风险-知识产权-软件著作权数量,经营风险-知识产权-作品著作权数量,经营风险-司法风险-诉讼数量,经营风险-其它风险-经营异常次数,经营风险-其它风险-行政处罚次数,经营风险-其它风险-动产质押次数,经营风险-其它风险-自身风险,经营风险-其它风险-周边风险,经营风险-组织结构风险-股东数量（注册）,经营风险-组织结构风险-第一大股东持股比例（注册）,经营风险-战略风险-竞品信息,经营风险-战略风险-公众号数
北京六一生物科技有限公司,0.5126854028,3.1649578136,11,11,-32.0472992627,0.7630818859,0,0,3,165.131120032,152.6054521057,1.0027958052,-0.0880399367,56.7189530852,0,39529000,-31427000,-0.0880399367,0.1145642373,0.0628088484,0.5606275171,0.1271040526,2.8789362391,0.5536615975,3.2263828552,0.2045319483,0.1487607343,-0.299422004,0.2875543675,0,0,24,11,0,7,0,0,0,3,0,20,0.3875,0,1
北京六合联创科技有限公司,1.6257919384,3.0487260102,13,13,303.8702460862,0.2160314539,0,0,0,121.136672494,118.6293424916,0.4259831281,0.2168185829,82.23,0,473232.6,12792100.3,0.2168185829,0.0034618449,0.0028808241,0.2058682284,0.0038210767,62.2398603937,7.3831849516,334.5430941515,0.5604899559,0.004089414,0.5564324575,0.0609279782,0,0,0,18,0,0,1,0,0,1,0,7,0.476,0,0
北京关键科技股份有限公司,1.782589243,3.6799076522,13,13,7447.6368242117,-0.0529159499,0,0,5,59.201254416,59.1823626093,0.0675948835,0.0336085237,105.5872496609,0,10639000,3558000.00000008,0.0336085237,0.098261756,0.1061098699,0.7465852675,-1.9596572653,1349.5325233738,-0.6249305572,0.7180632956,0.2692092848,0.1071950336,-1.3061341076,-0.2223859512,0.6412,1,0,31,0,0,0,0,0,0,5,2,0.3893,10,0
北京兴科远景科技有限公司,2.075974739,4.8102865366,13,13,192474000,2.1243726762,0,0,0,312.2453103425,272.9128077325,1.0914693331,0,32.0064243522,0,12279000,0,0,0.0637956292,0.1323567456,0.9999999948,0.1946606636,0,0,0,0,12279000,0,0.4721975296,0,0,0,1,0,1,0,0,0,0,0,2,0.7,0,0
北京兴通力得科技有限公司,0.3465945478,1.3525700582,11,11,273.0993497635,2.8360798254,0,0,0,343.2097485092,341.1532278973,0.1998962904,-2.1750583129,26.0683494957,0,20214000,-209730000,-2.1750583129,0.1495789075,0.0546482361,0.4525030038,0.062738602,31.2168274247,0.2639617924,1.5891715249,0.1673538019,0.2107205382,272.2260509993,1.2300443652,0,0,3,0,0,0,0,0,0,0,0,4,0.7178,0,0
北京军懋国兴科技股份有限公司,0.7485910428,8.1734893775,10,10,6850.7446976475,1.2126977888,6,0,0,208.6163665375,142.4927717059,0.0177918009,-0.9284848664,45.1939447174,0,5476000,-77392000,-0.9284848664,0.0399244068,0.0296908379,0.5751511429,0.0514142124,0.9719500513,0.591704859,5.0796505709,0.290456205,0.0400728861,-0.3842534906,0.4623459788,0,0,38,10,0,2,0,0,0,1,0,4,0.64,10,0
北京创世捷能机器人有限公司,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,0.47,0,0
北京创世漫道科技有限公司,1.8260948152,4.2181856086,8,8,-171.3155757566,0.9460826709,8,0,2,176.5140582054,176.5140582054,0.8791706069,0.3900399587,51.385251103,0,785506000,376481000,0.3900399587,0.2132134805,0.4181711129,0.3125268781,0.7264198775,2116104000,2.8652453038,12.1160471786,1.1265268047,0.3345155203,0.354651553,0.1615694276,0,0,1,21,0,3,0,1,0,1,9,1,1,10,1
北京创和世纪通讯技术股份有限公司,1.6772815848,2.9999778329,9,9,91.745245021,2.0366573332,0,0,0,169.8155354101,149.1525566329,0.4961319206,0.2941169035,32.9309007287,0,61810000,69915999.9999999,0.2941169035,0.0836873042,0.0856260217,0.3657145384,0.1170372512,8.6552656069,2.5616586775,1.336143033,0.5889479946,0.0986376481,0.6134858514,0.1438432026,0,0,24,7,0,17,0,1,0,1,12,2,0.85,10,0
北京创四方电子股份有限公司,2.0382835421,4.5407684673,11,11,25.1036256423,0.4467863637,0,0,5,64.9276154056,46.5719748703,0.0737503412,0.2701447685,69.118705036,0.0958399152,10500000,98900000,0.2573510272,0.009494324,0.0188848921,0.4324045399,0.0267909144,4.010416607,-2.0989096737,0.8466855141,0.4847122293,0.0220125786,-0.3529411534,0.0659509201,0.8392,1,18,0,0,2,0,0,0,1,0,6,0.8392,0,0
北京利德衡环保工程有限公司,1.4586897472,3.3918780072,8,8,2671494000,0.4409185447,0,0,3,106.2228597048,101.001019057,0.0148966762,0.1807123886,69.4001992015,0,40176000,311574000,0.1528752613,0.012646856,0.0136805455,0.9999999996,0.0375971477,0,0,0,0,40176000,0,0.1586542255,0,0,25,0,0,17,0,0,0,7,0,3,0.62,0,0
北京利昌鸿达科技股份有限公司,2.0028355198,4.1145630269,13,13,211900000,0.9371727585,0,0,3,184.6422338569,182.2,0.8097731098,0.2879581102,51.6216216216,0,24500000,16500000,0.2879581102,0.084473808,0.2207207207,0.2142520047,0.3333333333,150.6362266943,3.4164947749,31.8653784874,1.4927927793,0.1308760677,0.8014705293,0.2802768134,0.5501,1,0,0,0,0,0,0,0,0,0,3,0.8,10,0
北京力拓易盛科技有限公司,4.0009552014,14.489848759,12,12,361.9425772643,1.2752711054,4,0,0,291.5158731647,269.9816235069,1.6361360457,0.0244238592,43.9508062804,0.1468601297,119875000,2605000,0.0190621843,0.0722718784,0.3855319778,0.1376836117,0.5158828525,46.6852121785,5.2493354029,119127.430285524,3.4485324749,0.1066387811,283.7380433776,0.7348904124,0,0,5,8,0,0,0,0,0,0,0,3,0.87,10,0
北京加美中工贸有限公司0,2.226665189,4.3351852878,10,10,148.4032858567,0.497652719,0,0,0,100.6318147684,71.7317430284,0.0938345617,0.0260885799,66.7711537276,0,34697000,12437000.0000001,0.0260885799,0.0296843215,0.0485976884,0.1330191619,0.1336567724,6.6956152026,306.2664985835,3.9383298299,1.2920469361,0.0335257769,0.6984175243,0.3290592795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京动力源科技股份有限公司,0.7616595548,1.446878517,6,6,33.2074797494,0.7208450684,12,0,11,126.6027614864,99.6681005416,0.2084707607,0.0439388236,58.1109838614,0.0765517333,457694000,428017000,0.0413131979,0.0489732699,0.0256720909,0.3336961464,0.0615972938,2.3704698591,2.4000441446,1.1316833803,0.3488546911,0.050934029,-0.0306626939,0.0751220381,0,0,196,30,0,29,0,0,3,12,14,1,1,10,1
北京助力软件有限公司,2.9125415275,21713000,13,13,21713000,0.0059371197,0,0,0,100.5937120497,97.0854135744,0.966671034,0.966671034,99.4097920858,0,49000,7164000,0.966671034,0.0020264357,0.00657277,0.9999999539,1,0,0,0,0,49000,4254000,7455000,0,0,2,20,0,0,0,0,0,0,0,1,1,10,0
北京北信源软件股份有限公司,0.3772492124,0.6355170797,6,6,-28.3426890029,9.8956610998,12,0,13,860.1040391505,851.1982430437,3.1608278828,-0.3512231739,9.1779641549,0,780424000,-250760000,-0.3512231739,0.3089896563,0.1003233155,0.9165697578,0.1013160839,2.4649439723,0.0288806369,0.0956684264,0.0201477319,0.5506813798,0.3711004099,0.1195764166,0,0,177,126,0,3,0,1,0,2,9,20,0.0278,10,1
北京北农大动物科技有限责任公司,2.8162186044,16.076652283,7,7,849.9225815486,3.2965132889,0,0,26,268.4983095819,195.7361521234,0.9240666994,0.6790250226,23.2746443163,0.0522690641,256403000,142801000,0.5555724124,0.1443630573,0.2321750674,0.3009396265,0.270933699,7.2646891128,3.1370905524,2.0597859482,1.0066083993,0.1806401659,-0.1009019427,0.2861776476,0,0,6,0,0,3,0,0,0,2,17,14,0.7339,1,0
北京北创网联科技股份有限公司,1.0303807378,7.2948239215,11,11,2078.9730256744,2.6075888514,0,0,0,213.1155765625,206.931425101,0.323888983,0.7128145359,27.7193444735,0,-4729000,26995000,0.7128145359,-0.0370486161,-0.0346134985,0.3995502652,-0.0311993681,20.8185222807,1.1381716901,0.8719998413,0.3568725591,-0.0540970286,-2.8210684274,0.1106928865,0,0,2,14,0,0,0,0,0,1,0,11,0.7,10,0
北京北大先锋科技有限公司,0.6711584389,5.2529527785,6,6,103.4687835012,0.9768560999,0,0,8,180.8543174857,147.5100352685,0.1034321488,-0.0162453159,50.5853713826,0.0324998237,910962000,-44809000.0000004,-0.0157122404,0.2326992215,0.1615838933,0.3980307301,0.279658632,2.142970839,0.8837601591,3.0357320488,0.3496008924,0.346758774,-0.0171657557,-0.0628665493,0,0,25,20,0,4,0,0,0,2,8,20,0.0414,0,0
北京北大英华科技有限公司,1.3125455824,14.5708496125,10,10,49.3013631094,1.3798820878,0,0,1,112.7930892637,112.22,0.9049773718,0.4060057573,42.0188883728,0.0702581925,6.4782599307,14.304345753,0.3636698586,0.0564045567,0.0692057594,0.7824395644,0.0542056075,73100000,2.3504822395,0.1966639758,0.113175414,0.1113074202,0.0540540492,-0.0574930686,0,0,3,34,1,10,0,0,0,3,1,7,0.575,10,1
北京北大软件工程发展有限公司（原北大青鸟）,1.5285744649,2.2918324618,0,6,222.7288504972,0.7013949512,0,0,0,166.0016086948,162.8722208676,0.440709506,0.3647785512,58.7753007282,0.2520562508,102072000,130157000,0.27855608,0.1126803497,0.1283945524,0.2144825504,0.3112918827,63.5479971746,3.0130530103,3.5010583274,0.8925642798,0.1260918708,5.4101350893,0.3078498592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北京北斗星通导航技术股份有限公司,0,0,4,4,0,2.3949531052,12,0,18,261.0323270458,200.0893602231,0.6114610687,0.0716650018,29.503935454,0.0992571161,-8995330000,294646999.999999,0.0527518049,-9092851000,-0.4751517683,-6698744000,-0.6813189226,2.6553877064,1.0049361386,0.8114670353,0.3514484968,-0.9835692554,0.2434213265,0.1197092131,0,0,80,54,0,2,0,1,0,2,12,7,0.7658,10,1
北京北森云计算股份有限公司,1.2414247672,19.8584277179,11,11,538.3639319053,1.6199278604,8,0,8,244.1254167042,244.1254167042,2.0547364553,0.1461284795,34.1106828227,0.0079916881,40504000,40546999.9999999,0.1442214661,0.0520272319,0.0491427559,0.864626452,0.0805628035,113839000,0.2846601245,113839000,0.1381187583,0.3509848238,0.4316965625,0.4756895821,0,0,12,71,0,0,0,0,0,0,10,13,0.1493,20,1
北京北科维拓科技有限公司,0,0,11,11,0,2.6648881284,0,0,1,150.07,150.0642706566,1.329219943,0.9442130215,27.2863362312,0.007851588,4685000,18364000,0.924300336,4685000,0.0643429058,-19660000,0.0884880536,0.6205612001,0.4746728361,1.6457390218,0.2700067259,0.0607471175,-3.3793821124,0.3685625072,0,0,0,15,0,0,0,0,0,0,0,11,0.51,0,0
北京北起意欧替起重机有限公司,0.5495322021,7.8814098414,11,11,27.7980307458,1.9049720514,0,5,0,325.86544742,100.2559890215,0.1979692404,-0.0327705531,34.4238037041,0.0828700804,20812000,-4966999.99999996,-0.0271297716,0.057508658,0.039131334,0.3125746065,0.0447548077,0.538943833,0.5383330104,4.8576397676,0.3465149942,0.0831844467,-0.0891577599,0.0434855969,0,0,0,6,0,12,0,0,1,14,0,20,0.9644,0,1
北京北邮国安技术股份有限公司,0.796806865,2.1992597364,10,10,329.5774057805,0.9057239305,0,0,1,185.9728772848,139.2826206278,0.4268039216,-0.0490428921,52.47349755,0,1033751184000,-381629380000,-0.0490428921,0.082663099,0.0697092329,0.2935639551,0.1352441591,2.2420705109,1.2176264294,22.7595366244,0.5493075147,0.1044136696,0.1395483845,0.2318223124,0,0,9,20,0,0,0,0,0,0,0,3,0.5734,10,0
北京匡恩网络科技有限责任公司,0.0550652192,1.7401127937,10,10,-4.1145049385,23.1105536921,2,3,16,2108.5936297892,1896.484074473,8.5355432732,-12.9726871078,4.1475477839,0,-129609000,-168619000,-12.9726871078,-8.5879268097,-0.4135709499,0.362509915,-0.4314662175,0.348966255,0.036851197,9621000,0.030699767,-1.232657436,-130142000,313390000,0,0,69,44,0,0,0,0,0,2,2,20,0.4761,10,1
北京医模科技股份有限公司,1.1469911606,3.1889728653,11,11,138.6975254288,5.9224633136,0,0,2,587.8840418892,401.6488660795,1.2343262148,0.50983077,14.4456884093,0,65018000,29405000,0.50983077,0.1471041991,0.1628458577,0.4999922848,0.1674839352,1.8103674433,0.6910537588,194457000,0.4870423094,0.2445968458,3.0582919994,0.6460162736,0,0,141,26,0,0,0,0,0,0,0,2,0.8,10,0
北京十二年教育科技股份有限公司,0,0,11,11,0,0.3389140563,0,0,4,55.9035648053,88.78,0.0331753537,-0.3872861948,44.95,0,-1978000,-7518000,-0.3872861948,-1880000,-0.0761032665,-7128000,-0.2857577139,6409000,-0.7487150407,0.4233436539,0.246585347,-0.084594984,70.0025000893,0.0062330621,0,0,0,8,5,0,0,0,0,0,10,4,0.58,0,1
北京十分科技有限公司,0.9797618081,1.3246872259,10,10,12018.7556401063,-0.0043947614,6,6,2,95.978688365,95.978688365,0.0627498649,-0.0635895066,100.4414160581,0,73156000,-33323000,-0.0635895066,0.1258388612,0.1402181205,0.259689395,-26.9261832393,358696000,-17.0215924179,358696000,0.6875126968,0.1818023669,-1.8197253246,2.3397345884,0,0,19,17,0,0,0,0,0,6,0,0,0,20,0
北京华丽达视听科技股份有限公司,0,0,9,9,0,2.3514868227,4,0,3,162.5856687364,162.5856687364,0.3865732499,0.7235173675,29.8374885837,0,195932000,431144000,0.7235173675,172098000,0.0981057025,-781074000,0.1228173091,779020000,2.0888166659,0.757577525,0.390065453,0.1749180455,-0.1365287732,0.1650629068,0,0,12,16,0,2,0,0,2,3,4,11,0.4238,10,0
北京华亘安邦科技有限公司,1.4560145864,4.1952510636,8,8,2093682000,2.2054174667,4,1,6,242.0480138972,182.4406896064,0.7031164246,0.1682842991,31.1971844299,0,369547000,99974000,0.1682842991,0.1454595301,0.1940624954,0.9999999995,0.2324441493,0,0,0,0,369547000,0.3104948775,0.7764953478,0,0,20,14,0,1,0,0,0,1,1,17,0.3681,10,0
北京华信佳音医疗科技发展有限责任公司,1.7501424024,17.5987413483,13,13,-1657.4187988079,0.5737854837,0,0,2,147.9677638206,140.7228469809,1.2506424493,-0.3270080762,63.5414761594,0,5618000,-31812000,-0.3270080762,0.0223001992,0.0366949706,0.4042536284,0.1006485363,21.0404340181,3.1778886684,16.199801595,0.9686022144,0.0228089335,15.3789639097,0.0424752486,0,0,15,1,0,0,0,0,0,0,0,1,1,0,0
北京华力兴科技发展有限责任公司,0.4998315339,3.458498121,7,7,-42.6456702342,6.3974670655,0,0,1,141.0945161084,73.2714176351,0.4482216241,-0.2260529519,5.4659371334,0,102811000,-275795000,-2.8350345614,0.0983567307,0.0577665179,0.3336862618,0.0502993485,0.6866544278,1.133266315,9.7375833807,0.3192483513,0.132634197,1.2077692749,-0.108977719,0,0,75,60,0,0,0,0,0,0,1,2,0.65,0,0
北京华夏乐游科技股份有限公司,0.7976219946,1.226666662,12,12,1609.9919500403,5.4516124636,6,0,9,3255.6451612903,3255.6451612903,6.4677414139,-2.6370965615,2.3484848485,0,-32100000,-32700000,-2.6370965615,0.3267080735,-0.0607954545,0.9965838478,0.204034135,200000,0.0005111168,0.0016090104,0.0003787879,-0.1669266762,2.4810811258,5.4155527896,0.476,1,0,23,3,0,0,0,0,0,0,5,0.495,10,1
北京华夏大禹科技有限公司,0.6419502046,3.5010255724,11,11,-9715.8242941765,0.9426075954,0,0,0,192.8482507817,133.0141054922,0.0471293995,-0.0451297328,51.4771999051,0,2233000,-4604000,-0.0451297328,0.0176806865,0.0112675914,0.3478099041,0.0232212308,1.3494044765,0.8695959621,82369000,0.4156293027,0.0181510773,-0.436822084,-0.0303500307,0,0,8,21,0,0,0,0,0,0,0,2,0.94,0,1
北京华夏视科检测技术有限公司,0.128405597,94017090000,14,14,-672.2517101567,0.5184301971,0,0,0,134.6984811216,81.2034831246,0.0038846667,0,65.8574889996,0,-218193866000,0,0,-2.3207894011,-0.2643550147,-0.6521934895,-0.774269399,0.1454943056,0.2243100371,0.453976498,0.0512583167,-0.7009966094,-218193866000,825381982000,0,0,6,6,0,0,0,0,0,0,0,1,1,0,0
北京华夏金桥科技发展有限公司,0,0,11,11,0,84.170488262,0,0,0,8420.0258397933,6835.0129198966,28.1892582757,16.0587751558,1.174114863,0,6623000,24859000,16.0587751558,4968000,0.0502336094,-335773000,0.0381285688,13.6358406572,2.5977063947,222.7488530301,2.5376126139,0.0171838068,-0.490224716,0.0201959235,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0,0
北京华彦邦科技股份有限公司,0.9399014686,2.0739129984,13,13,95400000,0.8591352739,0,0,1,141.5620641562,99.0237099024,0.11576011,-0.1087866094,53.7884471118,0,3200000,-7800000,-0.1087866094,0.0251572324,0.0240060015,0.5849056542,0.038961039,1.2688524174,1.2986576745,1.2169810938,0.2903225785,0.034557235,-1.7407413855,0.0438527796,0,0,6,18,0,1,0,0,0,2,0,4,0.5847,10,0
北京华想互联科技有限公司,0.0067487085,34000,13,13,34000,57.9295589586,0,0,0,5787.02,5787.02,58.5807141777,-0.1976721201,1.7070265979,0,34000,-17000,-0.1976721201,0.9999705891,0.0067487098,0.9999705891,0.0068659128,0,0,0,0,34000,0.172407848,0.001988862,0,0,2,9,0,0,0,0,0,0,0,2,0.52,0,0
北京华泰焦化工程技术有限公司,0,0,9,9,0,0.4957265586,0,0,5,116.2927611296,91.0335840835,0.1326304105,0.0468261602,66.8571767787,0,108727000,56956999.9999996,0.0468261602,92404999.9999998,0.0597622416,-1649346000,0.1532482222,5.3110174284,8.2338363774,4.031030205,0.8969019291,0.0549869975,43.3939091531,0.6084586755,0,0,70,5,0,2,0,0,0,0,24,7,0.32,0,0
北京华清科创科技开发有限公司,0.8336291369,10.1696840102,12,12,46028000,1.7834198605,0,0,5,119.2578513111,117.9597390816,0.1945440366,0.0002591905,35.9267685286,0,12428000,12000,0.0002397123,0.2700095535,0.0891925448,0.9999999783,0.1392040681,0,0,0,0,12428000,46028000,0.2759397438,0,0,2,0,0,0,0,0,0,0,1,3,0.69,0,0
北京华环电子股份有限公司,0,0,8,8,0,1.6266579767,6,0,4,207.9673785131,117.9392408853,0.4853452406,0.1328432255,38.0712274856,0,157523000,108257000,0.1328432255,144338000,0.0735909278,-1208643000,0.1088851153,1.6214172755,1.3520118732,2.6687029383,0.5557378058,0.08308495,0.9326395143,0.0886997635,0,0,60,14,0,0,0,0,0,0,1,9,0.2133,10,0
北京华融启明风险管理技术股份有限公司,0.5011337755,2.6309520677,14,14,220.9977900221,28.7999808,0,0,6,2940,2940,0.7999994667,-6.1333292444,3.355704698,0,2000000,-9200000,-6.1333292444,0.0814479601,0.0447427293,0.6877827743,0.0416666667,6800000,0.1596244094,11.3333144445,0.1521252762,0.0930232515,-1.2439025907,-0.1518026537,0,0,3,15,0,0,0,0,0,0,0,8,0.2616,10,0
北京华通伟业科技发展有限公司,4.2083609451,35.4820535788,9,9,-594.0408352887,2.9462670066,0,0,2,334.7733299301,201.637810014,1.4902582104,0.0161370371,30.6450417328,0.0085005733,10755000,2276000.0000002,0.0157294207,0.0046108182,0.0227777648,0.0237616667,0.0279777937,10.2033049298,5.7861014717,1915946000,4.0577375484,0.0054152633,-1.0852441744,-0.0835563766,0,0,10,44,1,0,0,0,0,0,1,3,0.51,0,0
北京华通兴远供热节能技术有限公司,0.431695917,1.6598787601,11,11,324.2516927792,1.5970857308,0,0,0,237.1236966478,195.5854314711,0.255564959,0.2687521648,38.5046973289,0.0488560306,1449371582000,676496362000,0.2467050318,0.5788279819,0.2035194863,0.5631362941,0.3405651641,1.0653527517,0.3227225213,0.9663453609,0.1564161301,0.9144066933,1.3405767823,0.5016914443,0,0,46,17,0,1,1,0,0,1,506,1,1,0,0
北京华韵尚德国际文化传播有限公司,0,0,8,8,0,2.388870302,0,2,0,273.3783020676,59.4,0.1757510754,0,66.07,0.0673565503,187338000,0,0,140311000,0.2369822205,-251064000,0.2517931905,1.0769081085,0.7443943084,0.9478259841,0.3151350698,0.5671752935,1.1237378284,1.2940341696,0,0,0,6,1,0,0,0,0,2,0,14,0.604,0,1
北京卓识网安技术股份有限公司,0.7814756368,4.1709014437,11,11,-117.4738155887,3.2595214983,0,0,1,385.3587241017,385.3587241017,3.0447518035,1.2694160946,25.9498471802,0,91329000,103790000,1.2694160946,0.3260513744,0.2898624781,0.2985561974,0.3440927501,157970000,0.677067481,157970000,0.5013695049,0.4218351605,0.1818309033,0.0209585591,0.51,1,0,14,0,0,0,0,0,0,19,12,0.51,10,0
北京博创凯盛机械制造有限公司,1.1630520032,1.5468220416,8,8,99.2286686554,0.8251738347,0,0,0,177.4202516376,156.1531545739,0.0263440694,0.3317769235,54.7892529188,0,220076000,204073000,0.3317769235,0.171408109,0.1960327761,0.2399667829,0.428634757,7.362481979,2.022450411,30.71798454,0.8578825609,0.2097286189,2.2550328282,0.1079891949,0,0,14,0,0,4,0,0,0,1,0,5,0.1367,0,0
北京博奇电力科技有限公司,0.7121952899,2.757816145,2,2,324.895279453,0.8851801338,0,0,15,177.3986338603,151.8196532733,0.7120621379,0.2570419309,53.0453287734,0.1280859082,18.8444946783,28.6606126145,0.2236175564,0.1070018532,0.0779923614,0.1739182983,0.1328651039,4.0362956167,1.3339295812,2.6272569483,0.4764477349,0.1439889359,0.7757743865,0.1530819525,0,0,120,6,0,33,0,1,0,8,9,2,0.9938,0,0
北京博威能源科技股份有限公司,0.9466712239,2.7316892658,11,11,110.769988923,1.1329372922,6,0,2,154.4686468647,108.8580858086,0.1712211219,0.275643564,46.8837036579,0,44600000,208800000,0.275643564,0.0298817369,0.0276041344,0.1591586168,0.0385690981,2.6876989792,2.2506059083,2.0839317727,0.5747354084,0.0426101079,0.6389891466,0.2118961895,0.7682,1,0,6,0,0,0,0,0,0,0,2,0.9,10,0
北京博导前程信息技术股份有限公司,1.9340020363,3.7512995733,12,12,171018000,0.6043939032,0,0,0,151.1831082236,151.1831082236,0.0839972631,-0.1617712402,62.3288328129,0,2840000,-9462000,-0.1617712402,0.0059701318,0.0302639571,0.9999999942,0.0288817855,0,0,0,0,2840000,1.2236119981,0.4167245325,0,0,1,84,0,1,0,0,0,1,0,2,0.51,10,1
北京博恩特药业有限公司,0,0,8,8,0,0.4242447254,0,1,0,139.5060030183,136.7960871088,0.1213165452,-0.2117867387,70.2126781479,0.4463412909,182414000,-267899000,-0.1393531264,155052000,0.0666222552,-152252000,0.1901109262,1.4115094164,0.2570928296,0.1319937082,0.0469230842,0.1217578779,0.2282370307,0.507764505,0,0,26,0,0,1,0,0,1,3,0,2,0.96,0,0
北京博文卡特科技有限公司,1.684259709,1.7415663298,13,13,17966000,17.9321654792,3,2,1,182.7166837958,182.7166837958,0.0601233196,-0.1384035392,5.28,0,999.9999999991,-808000,-0.1384035392,0.0001669821,9.37470704039646E-05,0.9999999443,0.0006212466,0,0,0,0,999.9999999991,58.669901478,0.9601247776,0,0,0,11,0,0,0,0,0,2,0,7,0.4434,10,1
北京博电新力电气股份有限公司,0,0,10,10,0,1.6561307954,0,0,18,222.9614744085,189.4518611435,0.7272268936,0.3577031981,37.6487625951,0.1510351395,401867000,503033000,0.2523116601,332057000,0.0758881379,-1202163000,0.1005678382,2.4988275585,0.6809835815,1177550000,0.2223672924,0.1991993698,-0.1068681882,0.2407699378,0,0,104,29,0,0,0,0,0,0,3,16,0.459,10,0
北京博纳电气股份有限公司,0.8350725718,1.5236846165,6,6,65.2753112427,0.7038012732,0,2,9,146.4195888953,119.5332037536,0.1626385161,-0.1707552577,58.6922842593,0,817738000,-883340000,-0.1707552577,0.1274853788,0.0927772253,0.0786314455,0.2214795405,3.916984271,2.2687307286,5448012000,0.6181092682,0.1261106653,-1.3807888697,0.201847825,0,0,20,15,0,6,0,0,1,9,2,12,0.6723,0,0
北京博萨模具股份有限公司,0.8245748443,337905000,12,12,350.8874860981,0.2712809122,0,0,1,119.2135495001,0.1,0.0993812307,0,78.6606407323,0,25606000,0,0,0.0568325415,0.0585949657,0.1466122131,0.2059343935,0.7676789169,4.3661084037,288364000,0.659871852,0.0823227579,0.8978653352,-0.045052959,0,0,0,0,0,0,0,0,0,0,0,2,0.6,0,0
北京博达兴创科技股份公司,0,0,10,10,0,4.1921589188,6,0,1,623.2436037762,557.1367492133,1.0084655731,-3.2660418103,19.2598109187,0.0672315767,136952000,-190972000,-2.2791740986,115599000,0.3147952769,-216687000,0.3290971671,5.4359443929,0.686779907,2.9750381863,0.4829801552,0.3912735407,0.4615493502,0.1915157585,0.3576,1,0,33,0,0,0,0,0,0,2,8,0.1003,20,1
北京博雅英杰科技股份有限公司,1.8162033033,2.9716191018,10,10,62.2160828058,2.8758030474,0,0,4,299.7280959126,277.4205787131,0.751473336,1.1646979894,25.8011045217,0,49946000,184190000,1.1646979894,0.0482341407,0.0814866177,0.192322078,0.0913034779,19.7096485144,2.2013594647,695317000,1.1344057671,0.0614642082,2.5499734865,-0.1126387824,0,0,66,71,0,8,0,0,0,7,0,20,0.6054,10,1
北京厚德兴华科技发展有限公司,1.3356100324,5.456691529,10,10,2540.004893565,1.5435849916,0,0,0,173.8217706257,105.2895133453,0.6035490242,0.719636339,39.3147396347,0,68966000,74011000.0000001,0.719636339,0.2580843755,0.2636375452,0.3393323072,0.3881662247,2.2094151385,2.0511050545,1.8801115351,0.5952888805,0.3941026864,0.5788919281,0.8132251971,0,0,0,19,0,0,0,0,0,0,0,4,0.424,0,0
北京厚德汇通天下信息科技股份公司,0.6268513812,1.2774762858,12,12,412.5734283215,77.3061652855,0,0,2,5213.8613861386,5213.8613861386,12.3266106276,0,1.2770261727,0,-2861000,0,0,-0.6573763534,-0.3617397901,0.6258707586,-0.277920082,1233000,0.2387221222,0.466515147,0.1558983239,-0.474775892,-2861000,7909000,0,0,2,7,0,0,0,0,0,0,1,3,0.6,20,0
北京友友天宇系统技术有限公司,0.626255733,2.7004668875,9,9,7.1935434901,0.4486064429,4,0,0,77.026212642,61.1655634248,0.3874428081,-0.1673448426,74.6,0,4994000.00000001,-69421000,-0.1673448426,0.0249562739,0.0068167889,0.630163407,0.0157160166,1.1118304895,-0.7675858387,0.1770987409,0.0998549008,0.0236960977,0.4099099642,0.5532208093,0,0,11,33,1,0,0,0,0,0,1,5,0.4542,10,0
